street_address,city,country,postcode
45123 James Plains,Moraleston,Reunion,13253
434 Wiggins Dam Apt. 701,East Matthewside,Gibraltar,20744
8262 Heidi Shoals Apt. 662,Christopherfurt,Lesotho,34329
69641 Christina Via,Port Mike,Seychelles,54031
9480 Johnson Freeway,Baileyhaven,Djibouti,01406
946 Susan Plaza,Donovantown,Belarus,82601
423 Bell Cliff Apt. 526,West Ryanberg,Martinique,13486
576 Clarke Fall,Dawnmouth,Western Sahara,47276
414 Tammy Knolls,Combstown,Peru,22035
1679 Green Road,Pattersonberg,Montserrat,18809
584 Randall Underpass Apt. 699,Amandamouth,Jordan,18833
96973 Morgan Park Apt. 173,Lake Robertfort,Latvia,89591
7867 Scott Key Suite 627,East Scott,Ireland,34647
907 Harris Mill,East Lauren,Greece,96377
12103 Hale Corner Suite 526,Ayalafurt,Belarus,14627
41123 Ivan Drive,West Cindyfurt,Bermuda,72492
1970 Randy Springs,Lake Michelle,Sierra Leone,30481
52109 Fletcher Lights Suite 730,Tanyachester,Guam,20716
45658 Bates Fall Suite 922,Donovanview,Monaco,69896
382 Fernandez Forges,West David,Netherlands Antilles,65599
723 Ricardo Isle Apt. 199,Moranport,Zimbabwe,66928
32880 Meyer Islands Apt. 023,North Lucasfort,Norway,33933
16112 Garcia Stream Suite 088,Rebeccaport,Costa Rica,67457
2349 Richard Summit Apt. 150,East Megan,Somalia,57946
10164 Sara Creek,Port Marychester,Djibouti,25666
12820 Christopher Terrace,Lake Larryhaven,Palestinian Territory,52946
16188 Estrada Corners,East Elizabethberg,North Macedonia,45407
223 Baird Views Suite 858,Pamelaborough,Ethiopia,57613
4451 Jerry Isle,Millermouth,Central African Republic,43952
08328 Robinson Street Apt. 633,South Davidview,Guam,37575
3609 Steven Hill,Luisborough,Hungary,25432
59968 Janice Corners Suite 092,South Jeffrey,Guyana,56605
2376 Black Mountain,Hunterside,Korea,19050
429 Rebecca Plains Suite 881,Lake Karenton,Netherlands Antilles,49186
0822 Whitney Plaza Suite 674,Jenniferton,Tuvalu,65193
7642 Paul Unions Suite 246,North Vickiside,Ireland,10862
40425 Hector Passage,Paultown,Yemen,41599
9473 Erica Place,Port Brooke,Luxembourg,72223
65483 Flores Crescent Suite 937,Smithfurt,Bosnia and Herzegovina,44222
87562 Cherry Walks,Sandersport,China,30811
45510 Rodney Islands,Rachelton,Gabon,25584
458 Cline Run,Lake Darylberg,Christmas Island,32717
628 Christopher Views,Ballburgh,India,00587
2928 Henry Hill,Beckland,Pitcairn Islands,60035
0523 Randall Path,West Williamchester,Armenia,64915
965 Stephanie Lakes,New Katherinebury,Kenya,55045
1916 Hodge Union,Amandaville,Micronesia,28699
77313 Gonzalez Ferry Suite 567,Lake Graceberg,Poland,94030
36219 Young Lane Apt. 131,North Davidfurt,Kuwait,00529
5141 Baker Mission Apt. 319,Brandonport,Nicaragua,78205
11496 Cameron Brooks Suite 958,North Ryan,Switzerland,56140
35561 Bates Mountains Suite 966,Port Joshua,China,19551
9032 Chad Brook,Mirandatown,Italy,09800
6999 Newton Valley,West James,Kiribati,64335
63413 Desiree Dale Suite 661,Portermouth,Kyrgyz Republic,03593
804 Jean Flats Apt. 281,Brownview,New Zealand,59306
1967 Martin Locks Suite 646,Lake Davidfort,Cambodia,50853
